@RELATION PBDNN

@ATTRIBUTE NN1	numeric
@ATTRIBUTE class	numeric

@DATA
-26.820000000, 17.223958333
-21.840000000, 73.536458333
-23.700000000, 55.817708333
-24.640000000, 31.385416667
-26.040000000, 29.812500000
-23.090000000, 137.213541667
-17.730000000, 893.875000000
-27.380000000, 11.807291667
-25.450000000, 16.859375000
-27.000000000, 20.817708333
-27.440000000, 6.484375000
-27.040000000, 8.020833333
-28.390000000, 9.682291667
-28.840000000, 5.062500000
-19.350000000, 202.671875000
-26.710000000, 21.973958333
-25.790000000, 16.380208333
-25.540000000, 35.598958333
-25.110000000, 28.901041667
-29.370000000, 7.197916667
-32.760000000, 3.718750000
-30.850000000, 4.760416667
-26.020000000, 30.354166667
-26.110000000, 28.072916667
-23.310000000, 57.979166667
-29.580000000, 4.609375000
-25.670000000, 25.869791667
-24.740000000, 36.072916667
-35.320000000, 0.447916667
-24.100000000, 40.302083333
-25.210000000, 29.583333333
-26.520000000, 18.015625000
-25.470000000, 19.156250000
-26.160000000, 32.348958333
-18.990000000, 294.859375000
-28.560000000, 7.000000000
-27.060000000, 29.067708333
-23.000000000, 81.302083333
-24.940000000, 22.291666667
-20.490000000, 206.713541667
-26.920000000, 14.635416667
-25.640000000, 31.869791667
-29.970000000, 2.375000000
-31.050000000, 2.239583333
-32.250000000, 1.859375000
-33.060000000, 1.385416667
-24.450000000, 26.739583333
-24.400000000, 57.692708333
-22.840000000, 80.588541667
-26.230000000, 22.052083333
-28.580000000, 10.921875000
-31.390000000, 4.250000000
-23.580000000, 59.682291667
-30.650000000, 2.729166667
-25.990000000, 18.677083333
-33.470000000, 1.364583333
-29.690000000, 6.057291667
-25.790000000, 31.473958333
-26.840000000, 18.354166667
-22.720000000, 56.104166667
-31.810000000, 2.166666667
-26.910000000, 16.135416667
-27.940000000, 7.223958333
-27.770000000, 10.817708333
-24.490000000, 39.796875000
-21.000000000, 343.812500000
-26.780000000, 18.390625000
-24.680000000, 51.750000000
-30.980000000, 4.994791667
-26.520000000, 30.979166667
-26.370000000, 9.380208333
-28.170000000, 10.380208333
-28.850000000, 8.765625000
-26.040000000, 23.208333333
-26.330000000, 27.812500000
-24.890000000, 35.041666667
-31.140000000, 4.468750000
-29.810000000, 4.036458333
-29.190000000, 6.182291667
-20.770000000, 209.338541667
-22.320000000, 78.927083333
-24.300000000, 51.468750000
-22.680000000, 81.833333333
-25.610000000, 27.822916667
-28.650000000, 6.000000000
-32.550000000, 1.635416667
-28.150000000, 7.567708333
-25.200000000, 46.947916667
-30.190000000, 4.416666667
-29.510000000, 12.005208333
-25.700000000, 25.697916667
-23.590000000, 32.317708333
-21.890000000, 121.166666667
-24.010000000, 41.781250000
-30.990000000, 2.489583333
-26.570000000, 25.500000000
-25.690000000, 22.213541667
-23.050000000, 190.442708333
-26.730000000, 12.343750000
-28.470000000, 9.453125000
-32.300000000, 1.093750000
-31.130000000, 4.791666667
-28.460000000, 10.296875000
-16.840000000, 1030.468750000
-26.400000000, 20.458333333
-21.710000000, 110.317708333
-26.160000000, 29.958333333
-32.230000000, 2.104166667
-31.960000000, 3.760416667
-25.400000000, 41.677083333
-26.820000000, 9.812500000
-23.680000000, 24.359375000
-26.440000000, 13.927083333
-30.060000000, 5.864583333
-29.010000000, 7.348958333
-28.780000000, 5.958333333
-28.880000000, 5.583333333
-23.860000000, 69.119791667
-32.140000000, 4.515625000
-27.380000000, 13.114583333
-28.140000000, 9.223958333
-33.430000000, 1.572916667
-23.790000000, 30.645833333
-26.270000000, 33.140625000
-24.070000000, 42.854166667
-28.360000000, 10.395833333
-25.750000000, 29.656250000
-25.780000000, 53.666666667
-23.810000000, 23.307291667
-24.630000000, 45.911458333
-28.790000000, 4.703125000
-30.910000000, 2.416666667
-25.990000000, 23.041666667
-31.410000000, 2.828125000
-25.850000000, 25.203125000
-27.230000000, 20.671875000
-32.640000000, 2.885416667
-24.580000000, 39.932291667
-27.090000000, 16.619791667
-21.530000000, 105.375000000
-24.680000000, 29.697916667
-25.700000000, 20.390625000
-28.980000000, 8.854166667
-28.220000000, 8.838541667
-29.390000000, 3.218750000
-26.950000000, 20.729166667
-24.200000000, 45.661458333
-28.930000000, 9.453125000
-30.070000000, 4.718750000
-29.640000000, 4.484375000
-22.330000000, 57.281250000
-23.310000000, 51.182291667
-26.520000000, 20.005208333
-25.780000000, 12.968750000
-33.070000000, 0.953125000
-33.610000000, 1.281250000
-28.420000000, 8.406250000
-24.600000000, 23.604166667
-28.890000000, 13.744791667
-26.820000000, 37.718750000
-22.470000000, 86.276041667
-25.520000000, 38.765625000
-24.990000000, 31.109375000
-25.250000000, 28.557291667
-23.330000000, 65.880208333
-23.030000000, 38.557291667
-19.590000000, 203.630208333
-27.750000000, 11.927083333
-20.740000000, 266.093750000
-29.350000000, 13.562500000
-26.000000000, 16.526041667
-25.810000000, 18.625000000
-24.370000000, 51.619791667
-23.900000000, 51.692708333
-23.980000000, 109.770833333
-28.750000000, 9.911458333
-28.440000000, 5.494791667
-28.890000000, 7.635416667
-26.340000000, 17.593750000
-30.080000000, 8.166666667
-33.140000000, 0.739583333
-30.930000000, 2.281250000
-29.630000000, 5.135416667
-30.080000000, 3.598958333
-29.660000000, 6.062500000
-28.690000000, 7.088541667
-26.560000000, 34.192708333
-27.510000000, 16.416666667
-26.260000000, 18.343750000
-21.440000000, 131.750000000
-24.110000000, 42.578125000
-27.070000000, 10.708333333
-27.510000000, 14.854166667
-25.010000000, 23.932291667
-27.880000000, 12.947916667
-27.960000000, 9.401041667
-31.440000000, 2.322916667
-29.180000000, 3.963541667
-26.680000000, 16.223958333
-33.100000000, 1.859375000
-31.700000000, 2.729166667
-20.660000000, 193.265625000
-25.220000000, 32.609375000
-30.990000000, 2.145833333
-26.680000000, 19.880208333
-30.870000000, 3.557291667
-28.520000000, 12.458333333
-27.560000000, 10.442708333
-26.960000000, 14.776041667
-21.290000000, 119.864583333
-22.830000000, 100.234375000
-28.020000000, 9.291666667
-28.780000000, 7.817708333
-26.530000000, 8.734375000
-23.380000000, 26.609375000
-25.640000000, 34.213541667
-29.910000000, 5.713541667
-19.680000000, 323.734375000
-29.790000000, 5.598958333
-26.930000000, 23.854166667
-28.960000000, 6.078125000
-33.830000000, 1.390625000
-27.770000000, 11.375000000
-29.810000000, 4.276041667
-24.040000000, 67.000000000
-27.290000000, 12.015625000
-28.390000000, 11.244791667
-30.090000000, 4.802083333
-27.780000000, 14.296875000
-19.270000000, 243.984375000
-23.690000000, 39.005208333
-25.590000000, 18.208333333
-23.260000000, 89.250000000
-21.930000000, 90.260416667
-31.850000000, 2.156250000
-30.410000000, 3.739583333
-27.840000000, 10.812500000
-25.390000000, 39.494791667
-28.930000000, 4.885416667
-29.540000000, 4.729166667
-22.760000000, 51.098958333
-30.910000000, 3.531250000
-24.720000000, 38.385416667
-22.900000000, 155.328125000
-26.220000000, 11.359375000
-26.360000000, 10.260416667
-26.860000000, 8.921875000
-29.100000000, 5.312500000
-24.150000000, 30.656250000
-28.540000000, 9.697916667
-29.780000000, 6.927083333
-18.840000000, 343.192708333
-33.370000000, 1.083333333
-33.540000000, 2.442708333
-33.040000000, 1.973958333
-23.560000000, 53.838541667
-27.250000000, 12.406250000
-23.700000000, 49.312500000
-26.080000000, 29.598958333
-23.550000000, 81.625000000
-30.630000000, 2.421875000
-29.500000000, 7.984375000
-27.380000000, 23.916666667
-24.170000000, 29.692708333
-30.210000000, 3.718750000
-26.030000000, 22.208333333
-32.480000000, 1.265625000
-27.280000000, 14.625000000
-27.080000000, 13.979166667
-28.780000000, 6.020833333
-29.130000000, 9.057291667
-30.220000000, 2.682291667
-26.590000000, 29.713541667
-30.240000000, 2.390625000
-29.390000000, 5.750000000
-17.380000000, 1195.645833333
