@RELATION PBDNN

@ATTRIBUTE NN1	numeric
@ATTRIBUTE class	numeric

@DATA
-8.090000000, 9929.479166667
-3.040000000, 50426.218750000
-5.190000000, 23975.302083333
-5.470000000, 22902.046875000
-5.140000000, 25168.135416667
-5.170000000, 25940.479166667
-7.690000000, 9031.364583333
-4.580000000, 27597.432291667
-5.170000000, 27809.166666667
-3.760000000, 34094.619791667
-6.360000000, 23591.229166667
-6.250000000, 14428.718750000
-5.470000000, 17604.703125000
-4.440000000, 41668.859375000
-3.880000000, 54002.234375000
-6.130000000, 15003.005208333
-7.210000000, 12620.630208333
-4.600000000, 23227.531250000
-6.660000000, 11609.901041667
-5.470000000, 23574.458333333
-7.370000000, 13895.062500000
-6.810000000, 13714.859375000
-6.170000000, 16236.828125000
-6.800000000, 18196.421875000
-7.690000000, 9681.229166667
-6.970000000, 12559.572916667
-4.000000000, 70557.046875000
-4.180000000, 47153.437500000
-5.470000000, 29448.494791667
-3.910000000, 42464.390625000
-6.590000000, 21031.906250000
-8.820000000, 7164.260416667
-6.860000000, 17031.479166667
-5.610000000, 21353.187500000
-7.150000000, 13419.817708333
-4.200000000, 25690.291666667
-6.360000000, 19035.260416667
-6.590000000, 13016.911458333
-7.140000000, 10358.843750000
-5.860000000, 18666.088541667
-6.810000000, 12332.223958333
-6.850000000, 17601.104166667
-3.760000000, 35616.864583333
-5.620000000, 16775.588541667
-5.470000000, 21797.026041667
-8.820000000, 7142.453125000
-4.740000000, 23904.140625000
-4.910000000, 28598.557291667
-4.630000000, 29388.630208333
-4.000000000, 54442.406250000
-8.420000000, 8242.572916667
-4.890000000, 35165.322916667
-4.040000000, 46176.062500000
-4.910000000, 22645.567708333
-6.900000000, 14517.072916667
-6.270000000, 17396.270833333
-4.730000000, 23424.177083333
-5.420000000, 22451.906250000
-5.470000000, 20544.197916667
-4.470000000, 43744.083333333
-3.040000000, 63301.005208333
-5.020000000, 22318.093750000
-6.100000000, 22857.536458333
-6.990000000, 14161.489583333
-6.050000000, 17079.015625000
-5.470000000, 16838.307291667
-5.780000000, 21418.619791667
-4.160000000, 45028.901041667
-7.200000000, 10034.942708333
-5.030000000, 23555.229166667
-4.630000000, 30812.520833333
-5.300000000, 28242.708333333
-6.750000000, 18446.307291667
-3.340000000, 58848.229166667
-5.340000000, 25745.786458333
-4.160000000, 44008.546875000
-4.780000000, 37372.093750000
-5.470000000, 23637.223958333
-6.590000000, 12500.479166667
-6.400000000, 20096.276041667
-6.530000000, 22157.203125000
-8.090000000, 7602.281250000
-5.190000000, 22560.864583333
-4.860000000, 34815.562500000
-6.050000000, 19879.093750000
-5.030000000, 29821.723958333
-4.600000000, 29551.906250000
-6.030000000, 21590.552083333
-4.600000000, 25037.635416667
-4.580000000, 23001.401041667
-4.580000000, 42716.744791667
-7.550000000, 13815.546875000
-5.860000000, 16558.255208333
-4.180000000, 35161.375000000
-6.420000000, 15554.682291667
-5.690000000, 30902.932291667
-5.700000000, 18358.671875000
-3.460000000, 49612.182291667
-5.640000000, 22801.442708333
-5.610000000, 25991.151041667
-7.290000000, 10713.520833333
-5.870000000, 15337.286458333
-3.900000000, 35264.953125000
-5.330000000, 27486.911458333
-7.690000000, 12977.250000000
-8.090000000, 8368.796875000
-4.720000000, 44125.989583333
-5.140000000, 23107.140625000
-8.490000000, 7231.005208333
-5.560000000, 23264.770833333
-3.740000000, 35828.140625000
-6.430000000, 21829.161458333
-4.580000000, 41917.447916667
-8.090000000, 9131.161458333
-6.570000000, 10298.562500000
-7.300000000, 17190.885416667
-3.480000000, 44366.255208333
-6.130000000, 26365.005208333
-6.030000000, 16693.552083333
-5.860000000, 13893.192708333
-7.290000000, 14931.182291667
-2.920000000, 57238.859375000
-6.410000000, 16870.125000000
-3.880000000, 52320.812500000
-5.170000000, 26684.093750000
-8.090000000, 7589.083333333
-4.630000000, 34367.583333333
-4.440000000, 35208.692708333
-5.780000000, 24670.062500000
-6.420000000, 15690.104166667
-5.970000000, 33437.192708333
-3.460000000, 70468.369791667
-4.460000000, 34619.833333333
-6.570000000, 14317.338541667
-7.690000000, 10408.343750000
-3.460000000, 51711.890625000
-5.580000000, 16823.145833333
-6.020000000, 20199.479166667
-6.010000000, 21755.687500000
-6.140000000, 26538.109375000
-5.340000000, 24154.593750000
-6.690000000, 14385.854166667
-4.440000000, 34070.333333333
-5.330000000, 32143.031250000
-4.580000000, 34004.468750000
-4.160000000, 44199.677083333
-5.100000000, 26384.927083333
-5.120000000, 23444.619791667
-6.130000000, 15844.588541667
-6.410000000, 22233.244791667
-8.420000000, 6941.677083333
-6.750000000, 13877.427083333
-2.920000000, 63367.848958333
-7.530000000, 9995.416666667
-4.160000000, 46296.130208333
-7.690000000, 9738.369791667
-3.740000000, 34600.588541667
-6.750000000, 11175.380208333
-4.210000000, 43268.697916667
-4.180000000, 38981.114583333
-3.460000000, 55679.604166667
-4.630000000, 35164.145833333
-4.910000000, 24596.317708333
-3.880000000, 60884.854166667
-5.020000000, 29283.072916667
-6.810000000, 10672.994791667
-7.700000000, 10818.750000000
-5.630000000, 22499.177083333
-6.590000000, 11246.802083333
-6.010000000, 19435.723958333
-4.740000000, 22716.458333333
-6.410000000, 15512.822916667
-6.810000000, 14722.848958333
-5.470000000, 28712.854166667
-7.300000000, 14784.057291667
-5.520000000, 26706.927083333
-7.290000000, 11015.447916667
-6.100000000, 16678.671875000
-7.700000000, 11315.572916667
-7.150000000, 10015.083333333
-3.740000000, 53348.578125000
-4.160000000, 40797.625000000
-3.460000000, 69643.114583333
-5.470000000, 29819.145833333
-6.360000000, 19105.354166667
-5.020000000, 31344.302083333
-5.470000000, 24547.078125000
-4.630000000, 45598.963541667
-4.910000000, 21176.010416667
-6.810000000, 10536.046875000
-4.750000000, 28666.723958333
-3.860000000, 39742.192708333
-5.620000000, 23211.098958333
-6.410000000, 11008.979166667
-6.400000000, 16912.437500000
-4.600000000, 27098.932291667
-5.780000000, 27504.968750000
-8.090000000, 8248.031250000
-5.030000000, 24699.781250000
-4.460000000, 31341.109375000
-7.200000000, 12915.661458333
-6.810000000, 11782.505208333
-5.730000000, 16974.671875000
-6.140000000, 20867.687500000
-7.690000000, 8483.348958333
-5.700000000, 15254.755208333
-6.690000000, 16471.942708333
-6.170000000, 19766.500000000
-6.810000000, 10772.755208333
-6.640000000, 21463.281250000
-5.070000000, 21956.166666667
-6.430000000, 17482.364583333
-5.380000000, 21647.213541667
-5.170000000, 25002.557291667
-5.940000000, 16332.984375000
-6.420000000, 17606.822916667
-4.780000000, 31475.916666667
-3.860000000, 43613.203125000
-6.660000000, 12847.104166667
-5.860000000, 17745.213541667
-6.750000000, 10773.864583333
-4.890000000, 32906.901041667
-6.260000000, 15842.630208333
-5.610000000, 24886.015625000
-5.570000000, 25185.942708333
-4.280000000, 32624.713541667
-5.030000000, 23258.088541667
-5.470000000, 22489.250000000
-5.520000000, 30008.703125000
-6.740000000, 18162.598958333
-4.180000000, 37115.723958333
-6.270000000, 15511.708333333
-6.120000000, 16866.583333333
-5.320000000, 16524.973958333
-3.860000000, 34605.755208333
-7.700000000, 10585.140625000
-6.180000000, 17688.213541667
-3.900000000, 39157.453125000
-6.450000000, 18820.088541667
-3.460000000, 49481.010416667
-6.450000000, 18020.541666667
-4.750000000, 32692.406250000
-5.780000000, 25236.114583333
-5.070000000, 31206.859375000
-3.460000000, 53340.078125000
-7.360000000, 7259.822916667
-6.410000000, 14855.380208333
-4.600000000, 30902.348958333
-4.740000000, 23556.916666667
-4.580000000, 35908.880208333
-6.450000000, 19977.609375000
-3.860000000, 38839.895833333
-7.300000000, 12801.994791667
-5.470000000, 24554.296875000
-5.310000000, 20054.223958333
-6.030000000, 24086.145833333
-3.880000000, 48745.630208333
-5.470000000, 26595.776041667
-6.410000000, 15608.307291667
-7.300000000, 10314.484375000
-6.140000000, 25773.760416667
-5.030000000, 25405.385416667
-5.190000000, 28585.645833333
-6.030000000, 16018.145833333
-4.600000000, 25402.979166667
-4.300000000, 26381.572916667
-5.470000000, 19230.041666667
-4.460000000, 47363.994791667
-6.810000000, 10664.244791667
-4.890000000, 27722.666666667
-6.750000000, 17337.979166667
-4.910000000, 25938.354166667
-6.250000000, 24544.557291667
-4.280000000, 50747.057291667
-6.810000000, 10375.838541667
-4.180000000, 36461.192708333
-3.740000000, 32721.385416667
-7.290000000, 13916.333333333
-7.530000000, 12463.864583333
-8.490000000, 8362.562500000
-5.220000000, 29771.010416667
-6.810000000, 12043.598958333
-6.180000000, 15251.552083333
-4.210000000, 45154.723958333
-4.000000000, 56694.135416667
-4.510000000, 33204.161458333
-4.440000000, 34238.609375000
-5.470000000, 24660.932291667
-5.470000000, 16520.260416667
-6.420000000, 14604.453125000
-4.000000000, 59172.572916667
-6.970000000, 11373.390625000
-4.700000000, 27437.010416667
-7.530000000, 15785.145833333
-4.700000000, 22933.890625000
-4.330000000, 39442.421875000
-5.420000000, 29085.927083333
-8.490000000, 7540.869791667
-4.630000000, 38908.255208333
-5.640000000, 32727.182291667
-5.470000000, 23572.067708333
-5.590000000, 18426.677083333
-5.590000000, 26274.744791667
-7.930000000, 12766.000000000
-7.130000000, 14863.651041667
-6.050000000, 20588.651041667
-4.580000000, 24292.020833333
-7.690000000, 8792.260416667
-5.470000000, 19671.567708333
-5.470000000, 17022.895833333
-6.420000000, 12222.531250000
-6.750000000, 11662.833333333
-7.300000000, 12946.973958333
-4.470000000, 37954.166666667
-7.760000000, 8426.343750000
-5.860000000, 19985.463541667
-5.980000000, 19246.015625000
-5.470000000, 17434.322916667
-8.090000000, 9171.682291667
-6.900000000, 12919.140625000
-4.750000000, 31275.510416667
-7.290000000, 11062.036458333
-6.400000000, 14728.500000000
-6.640000000, 19399.953125000
-5.190000000, 24284.098958333
