@RELATION PBDNN

@ATTRIBUTE NN1	numeric
@ATTRIBUTE class	numeric

@DATA
-7.700000000, 522.218750000
-8.820000000, 249.885416667
-6.210000000, 1373.869791667
-4.740000000, 1785.739583333
-6.900000000, 797.640625000
-5.570000000, 1601.625000000
-7.930000000, 366.802083333
-5.340000000, 1674.338541667
-6.590000000, 454.776041667
-3.900000000, 2358.677083333
-5.540000000, 1287.828125000
-5.280000000, 1621.458333333
-7.290000000, 450.739583333
-6.990000000, 389.072916667
-3.460000000, 9310.468750000
-6.130000000, 714.979166667
-7.530000000, 455.187500000
-5.730000000, 1817.786458333
-5.940000000, 2438.312500000
-4.750000000, 1399.916666667
-6.140000000, 1934.947916667
-7.200000000, 515.369791667
-4.750000000, 1881.348958333
-5.340000000, 1611.458333333
-6.310000000, 837.484375000
-4.780000000, 2865.880208333
-5.070000000, 1314.505208333
-6.990000000, 1791.708333333
-6.580000000, 2097.520833333
-5.020000000, 1606.729166667
-3.860000000, 4836.307291667
-5.470000000, 3388.088541667
-6.420000000, 814.640625000
-8.420000000, 283.932291667
-4.740000000, 2237.645833333
-5.580000000, 1242.281250000
-5.780000000, 1606.125000000
-5.470000000, 1508.734375000
-6.170000000, 714.302083333
-5.320000000, 1071.901041667
-6.590000000, 559.177083333
-5.170000000, 1193.505208333
-5.140000000, 1402.578125000
-5.620000000, 818.593750000
-6.570000000, 349.671875000
-3.880000000, 5305.468750000
-5.640000000, 1907.817708333
-5.070000000, 2586.760416667
-4.700000000, 2730.057291667
-8.100000000, 365.343750000
-6.660000000, 479.119791667
-6.820000000, 581.817708333
-5.030000000, 1437.781250000
-4.280000000, 2491.479166667
-5.700000000, 1098.822916667
-5.170000000, 1449.239583333
-6.100000000, 766.619791667
-5.910000000, 1381.036458333
-6.590000000, 546.500000000
-4.580000000, 1512.203125000
-6.810000000, 651.932291667
-6.170000000, 690.723958333
-6.500000000, 1215.796875000
-4.440000000, 3205.385416667
-6.420000000, 1089.020833333
-4.630000000, 1766.916666667
-7.200000000, 570.432291667
-5.280000000, 2049.348958333
-7.300000000, 625.265625000
-7.700000000, 963.125000000
-3.580000000, 10519.463541667
-4.890000000, 2148.062500000
-5.850000000, 3384.828125000
-3.860000000, 6021.187500000
-5.020000000, 1667.026041667
-6.130000000, 2014.442708333
-7.290000000, 589.817708333
-6.270000000, 1865.265625000
-4.470000000, 3488.427083333
-7.880000000, 454.708333333
-7.300000000, 1368.427083333
-3.580000000, 4722.687500000
-6.360000000, 689.786458333
-7.080000000, 648.729166667
-5.190000000, 1651.078125000
-4.020000000, 3950.859375000
-5.310000000, 1937.875000000
-5.030000000, 2632.953125000
-6.410000000, 736.057291667
-5.020000000, 1682.859375000
-6.820000000, 782.479166667
-3.040000000, 10098.979166667
-6.810000000, 838.026041667
-8.420000000, 238.817708333
-3.460000000, 11101.890625000
-5.590000000, 1639.947916667
-3.860000000, 2667.906250000
-4.580000000, 4375.520833333
-5.330000000, 1461.020833333
-6.430000000, 1091.145833333
-4.750000000, 2383.192708333
-3.460000000, 5771.645833333
-4.880000000, 2055.875000000
-5.970000000, 1266.520833333
-5.470000000, 1733.520833333
-4.200000000, 1821.635416667
-7.200000000, 1178.005208333
-3.760000000, 2803.645833333
-6.100000000, 2112.104166667
-7.300000000, 469.640625000
-5.470000000, 1182.552083333
-7.530000000, 362.005208333
-5.520000000, 2556.640625000
-4.580000000, 4711.395833333
-5.750000000, 740.307291667
-6.750000000, 481.593750000
-6.530000000, 1805.333333333
-7.360000000, 246.895833333
-8.090000000, 222.708333333
-6.310000000, 588.104166667
-7.370000000, 463.447916667
-5.570000000, 2856.604166667
-4.890000000, 5611.312500000
-6.970000000, 908.895833333
-5.520000000, 1419.760416667
-4.210000000, 5121.406250000
-5.940000000, 1743.552083333
-6.410000000, 467.125000000
-5.720000000, 751.348958333
-5.320000000, 867.979166667
-3.320000000, 4747.718750000
-4.600000000, 1608.390625000
-5.470000000, 2660.338541667
-4.300000000, 6376.614583333
-3.860000000, 3545.453125000
-4.210000000, 4338.713541667
-6.020000000, 1457.729166667
-5.330000000, 1421.682291667
-5.100000000, 1339.385416667
-4.000000000, 6711.484375000
-3.040000000, 10501.322916667
-6.990000000, 823.833333333
-5.470000000, 2117.416666667
-6.500000000, 1015.906250000
-5.170000000, 1638.760416667
-5.470000000, 2705.848958333
-5.780000000, 1802.630208333
-7.140000000, 429.489583333
-4.300000000, 4959.526041667
-6.360000000, 756.270833333
-6.640000000, 2578.739583333
-6.800000000, 603.958333333
-3.860000000, 4318.229166667
-5.140000000, 1092.781250000
-6.410000000, 2014.052083333
-6.270000000, 628.906250000
-4.760000000, 3967.958333333
-6.310000000, 760.927083333
-5.140000000, 1651.916666667
-5.640000000, 1454.718750000
-5.420000000, 2430.708333333
-8.090000000, 698.395833333
-8.490000000, 209.046875000
-3.880000000, 11111.500000000
-3.860000000, 3411.510416667
-6.270000000, 2079.692708333
-6.260000000, 793.057291667
-8.090000000, 351.885416667
-5.800000000, 916.776041667
-6.570000000, 2057.682291667
-7.690000000, 476.526041667
-6.960000000, 1310.473958333
-4.730000000, 2747.989583333
-6.970000000, 655.921875000
-5.470000000, 755.661458333
-3.340000000, 4499.083333333
-6.030000000, 2105.791666667
-7.130000000, 1274.177083333
-8.090000000, 271.687500000
-4.020000000, 3330.333333333
-6.310000000, 818.546875000
-5.570000000, 1850.093750000
-3.580000000, 10361.364583333
-6.850000000, 1085.932291667
-5.800000000, 1218.739583333
