@RELATION PBDNN

@ATTRIBUTE NN1	numeric
@ATTRIBUTE class	numeric

@DATA
-26.670000000, 8.671875000
-19.700000000, 170.953125000
-16.540000000, 690.302083333
-18.950000000, 223.635416667
-19.160000000, 154.989583333
-19.710000000, 241.500000000
-18.770000000, 224.250000000
-14.410000000, 1235.255208333
-15.810000000, 896.812500000
-15.840000000, 1049.442708333
-16.420000000, 1486.588541667
-19.120000000, 223.880208333
-15.700000000, 1495.677083333
-21.030000000, 108.833333333
-17.590000000, 328.494791667
-17.160000000, 289.937500000
-17.200000000, 447.526041667
-18.230000000, 584.645833333
-15.370000000, 896.557291667
-20.820000000, 125.708333333
-22.180000000, 92.109375000
-19.130000000, 240.833333333
-18.930000000, 257.083333333
-18.130000000, 275.291666667
-16.390000000, 760.078125000
-21.380000000, 71.864583333
-17.870000000, 473.380208333
-19.790000000, 162.348958333
-18.370000000, 230.260416667
-18.680000000, 368.932291667
-22.790000000, 51.260416667
-15.040000000, 1133.848958333
-22.040000000, 86.307291667
-23.550000000, 34.078125000
-20.580000000, 136.557291667
-20.690000000, 124.609375000
-19.250000000, 315.484375000
-26.720000000, 14.125000000
-19.110000000, 299.078125000
-20.300000000, 243.708333333
-15.980000000, 967.770833333
-20.600000000, 85.869791667
-22.810000000, 60.234375000
-20.620000000, 125.088541667
-24.990000000, 18.473958333
-16.620000000, 317.286458333
-19.900000000, 134.229166667
-21.000000000, 68.088541667
-22.420000000, 58.078125000
-21.590000000, 62.416666667
-19.900000000, 126.401041667
-14.950000000, 1022.619791667
-17.180000000, 936.244791667
-20.320000000, 153.260416667
-22.960000000, 43.380208333
-21.030000000, 121.119791667
-19.660000000, 253.817708333
-16.850000000, 987.848958333
-18.830000000, 296.963541667
-20.760000000, 234.562500000
-23.260000000, 50.885416667
-22.760000000, 78.187500000
-18.280000000, 285.140625000
-20.000000000, 165.151041667
-20.640000000, 144.859375000
-18.820000000, 202.520833333
-18.470000000, 277.822916667
-23.750000000, 36.739583333
-15.400000000, 905.489583333
-19.020000000, 213.437500000
-19.600000000, 206.250000000
-18.390000000, 369.354166667
-18.310000000, 215.942708333
-17.940000000, 274.036458333
-18.420000000, 407.656250000
-24.960000000, 21.500000000
-17.820000000, 337.036458333
-15.820000000, 793.151041667
-25.320000000, 23.963541667
-21.300000000, 76.286458333
-24.010000000, 41.302083333
-13.940000000, 1750.453125000
-18.900000000, 225.593750000
-19.650000000, 126.583333333
-19.630000000, 252.765625000
-18.670000000, 403.083333333
-21.270000000, 66.953125000
-13.340000000, 3374.598958333
-17.880000000, 305.062500000
-25.240000000, 24.822916667
-22.200000000, 132.041666667
-25.880000000, 17.109375000
-20.150000000, 93.171875000
-20.390000000, 166.114583333
-21.520000000, 76.223958333
-26.450000000, 14.505208333
-13.130000000, 2423.916666667
-22.700000000, 61.921875000
-17.970000000, 359.453125000
-22.340000000, 52.468750000
-17.060000000, 604.781250000
-13.690000000, 3433.786458333
-20.130000000, 226.208333333
-19.960000000, 186.078125000
-19.360000000, 246.270833333
-15.550000000, 819.229166667
-18.230000000, 407.869791667
-13.150000000, 3440.098958333
-19.760000000, 228.510416667
-21.510000000, 79.932291667
-22.030000000, 72.177083333
-22.040000000, 129.197916667
-14.390000000, 1479.838541667
-24.630000000, 19.093750000
-20.820000000, 81.046875000
-19.700000000, 138.708333333
-18.120000000, 242.343750000
-22.570000000, 60.104166667
-20.090000000, 147.833333333
-15.640000000, 1184.890625000
-20.240000000, 167.213541667
-23.790000000, 62.041666667
-18.380000000, 286.296875000
-15.940000000, 924.796875000
-15.560000000, 1598.119791667
-23.150000000, 37.583333333
-21.120000000, 88.354166667
-24.150000000, 30.536458333
-15.200000000, 1377.640625000
-19.650000000, 242.843750000
-16.960000000, 366.369791667
-24.100000000, 43.651041667
-17.790000000, 622.468750000
-22.880000000, 49.041666667
-18.410000000, 287.088541667
-22.960000000, 54.625000000
-21.560000000, 77.567708333
-22.500000000, 49.927083333
-19.860000000, 169.614583333
-15.200000000, 1298.218750000
-22.120000000, 67.265625000
-18.320000000, 330.442708333
-18.650000000, 328.531250000
-18.440000000, 683.041666667
-16.200000000, 380.817708333
-20.350000000, 125.442708333
-16.790000000, 543.156250000
-17.170000000, 339.588541667
-22.860000000, 67.401041667
-19.510000000, 295.458333333
-14.710000000, 1095.494791667
-22.470000000, 93.161458333
-15.270000000, 670.442708333
-14.710000000, 1071.562500000
-19.160000000, 320.968750000
-19.530000000, 200.604166667
-19.690000000, 231.203125000
-16.770000000, 336.791666667
-19.700000000, 143.416666667
-17.180000000, 949.026041667
-21.440000000, 124.177083333
-22.540000000, 55.385416667
-21.230000000, 101.718750000
-24.320000000, 20.552083333
-18.680000000, 222.656250000
-18.070000000, 482.203125000
-18.720000000, 334.828125000
-18.970000000, 218.750000000
-19.210000000, 198.348958333
-19.810000000, 173.708333333
-19.460000000, 290.515625000
-19.840000000, 254.822916667
-20.840000000, 139.546875000
-17.900000000, 371.078125000
-22.060000000, 87.963541667
-23.800000000, 52.848958333
-18.640000000, 216.354166667
-22.490000000, 65.140625000
-19.280000000, 168.421875000
-21.940000000, 55.708333333
-22.810000000, 71.213541667
-20.740000000, 87.223958333
-19.870000000, 278.807291667
-18.550000000, 289.302083333
-18.680000000, 294.447916667
-22.540000000, 84.723958333
-21.940000000, 47.875000000
-16.780000000, 509.234375000
-17.690000000, 258.989583333
-15.230000000, 1592.411458333
-19.210000000, 215.270833333
-12.680000000, 2500.614583333
-22.660000000, 109.661458333
-14.690000000, 1441.635416667
-18.190000000, 225.364583333
-17.770000000, 680.078125000
-17.830000000, 431.281250000
-19.040000000, 279.140625000
-23.880000000, 48.161458333
-18.720000000, 210.625000000
-22.790000000, 51.395833333
-19.450000000, 182.963541667
-24.430000000, 40.354166667
-23.130000000, 33.682291667
-21.470000000, 77.114583333
-21.390000000, 130.510416667
-13.850000000, 1501.739583333
-19.200000000, 134.250000000
-20.200000000, 92.234375000
-19.920000000, 226.937500000
-21.330000000, 79.453125000
-22.960000000, 29.364583333
-21.090000000, 86.369791667
-22.030000000, 102.958333333
-14.810000000, 1973.302083333
-22.660000000, 72.942708333
-24.400000000, 34.864583333
-18.770000000, 267.442708333
-17.180000000, 958.625000000
-15.610000000, 933.437500000
-16.620000000, 785.000000000
-17.750000000, 436.130208333
-20.320000000, 140.531250000
-16.680000000, 883.734375000
-14.230000000, 3436.239583333
-19.150000000, 135.859375000
-22.160000000, 57.052083333
-22.670000000, 52.526041667
-19.440000000, 149.817708333
-17.270000000, 456.364583333
-24.110000000, 24.171875000
-18.720000000, 325.526041667
-12.380000000, 4628.921875000
-23.330000000, 44.088541667
-22.390000000, 106.875000000
-23.260000000, 50.901041667
-19.520000000, 194.791666667
-22.570000000, 51.369791667
-23.610000000, 51.291666667
-24.160000000, 23.677083333
-22.960000000, 53.932291667
-20.890000000, 144.703125000
-17.850000000, 396.473958333
-22.060000000, 85.119791667
-18.630000000, 311.723958333
-17.290000000, 308.932291667
-22.090000000, 74.182291667
-21.640000000, 101.526041667
-20.420000000, 219.125000000
-22.080000000, 123.744791667
-20.370000000, 132.437500000
-23.550000000, 49.114583333
-20.210000000, 124.161458333
-20.800000000, 137.885416667
-22.720000000, 70.645833333
-20.290000000, 184.218750000
-20.410000000, 134.786458333
-19.700000000, 231.130208333
-23.340000000, 31.609375000
-20.740000000, 110.916666667
-23.160000000, 45.453125000
-25.290000000, 22.880208333
-24.620000000, 21.109375000
-22.300000000, 76.171875000
-17.160000000, 439.901041667
-20.500000000, 83.682291667
-17.750000000, 270.395833333
-21.540000000, 75.062500000
-17.480000000, 574.546875000
-15.200000000, 1348.130208333
-19.430000000, 140.614583333
-16.420000000, 1492.291666667
-19.020000000, 191.244791667
-16.380000000, 828.281250000
-25.990000000, 34.520833333
-15.060000000, 1539.000000000
-20.470000000, 166.052083333
-21.670000000, 64.437500000
-19.700000000, 214.161458333
-15.980000000, 1043.140625000
-14.690000000, 1489.666666667
-18.300000000, 392.166666667
-15.180000000, 1232.843750000
-19.170000000, 209.390625000
-18.150000000, 347.239583333
-21.130000000, 160.010416667
-24.220000000, 26.734375000
-15.160000000, 975.109375000
-20.300000000, 151.593750000
-26.280000000, 15.052083333
-15.280000000, 1157.229166667
-19.420000000, 160.552083333
-18.520000000, 212.473958333
-22.200000000, 88.052083333
-19.510000000, 206.000000000
-20.790000000, 169.770833333
-17.430000000, 530.682291667
-23.370000000, 31.421875000
-22.980000000, 71.442708333
-20.350000000, 105.223958333
-19.090000000, 299.479166667
-13.550000000, 2918.500000000
-19.900000000, 190.682291667
-19.720000000, 173.333333333
-18.690000000, 320.687500000
-20.010000000, 90.890625000
-23.390000000, 52.437500000
-15.520000000, 813.307291667
-23.420000000, 33.927083333
-22.830000000, 50.729166667
-15.740000000, 1088.114583333
-22.790000000, 48.307291667
-14.390000000, 1834.838541667
-18.180000000, 191.411458333
-24.910000000, 43.416666667
-20.090000000, 161.375000000
-20.160000000, 151.822916667
-23.980000000, 46.776041667
-22.960000000, 47.984375000
-17.470000000, 558.942708333
-18.630000000, 349.338541667
-22.490000000, 51.125000000
-15.260000000, 1622.588541667
-21.280000000, 164.442708333
-21.530000000, 97.401041667
-19.200000000, 260.307291667
-17.660000000, 365.718750000
-21.240000000, 74.890625000
-19.550000000, 266.182291667
-21.860000000, 65.765625000
-18.940000000, 275.020833333
-18.300000000, 353.692708333
-22.820000000, 57.770833333
-15.840000000, 1096.479166667
-19.810000000, 140.406250000
-22.820000000, 53.604166667
-18.630000000, 229.916666667
-18.650000000, 598.968750000
-16.900000000, 732.062500000
-21.450000000, 83.359375000
-19.490000000, 118.500000000
-17.040000000, 471.385416667
-13.130000000, 2193.651041667
-21.120000000, 79.875000000
-25.410000000, 33.640625000
-16.470000000, 570.312500000
-19.360000000, 141.588541667
-20.160000000, 221.692708333
-15.970000000, 511.552083333
-20.050000000, 134.593750000
-17.230000000, 325.031250000
-16.630000000, 536.578125000
-19.720000000, 282.791666667
-21.590000000, 98.338541667
-17.570000000, 566.119791667
-21.310000000, 108.468750000
-18.910000000, 209.854166667
-18.220000000, 396.104166667
-14.710000000, 1196.411458333
-20.540000000, 165.510416667
-19.370000000, 187.661458333
-19.190000000, 177.807291667
-17.800000000, 377.437500000
-17.200000000, 492.395833333
-20.520000000, 174.729166667
-19.510000000, 145.562500000
-15.000000000, 1103.411458333
-17.870000000, 458.260416667
-20.080000000, 122.276041667
-22.710000000, 66.328125000
-17.780000000, 378.385416667
-19.270000000, 250.791666667
-21.630000000, 71.979166667
-25.780000000, 16.343750000
-17.760000000, 273.119791667
-19.740000000, 150.895833333
-18.170000000, 330.151041667
-20.300000000, 181.723958333
-16.620000000, 560.036458333
-20.310000000, 127.619791667
-19.760000000, 203.395833333
-16.140000000, 1444.609375000
-24.100000000, 35.187500000
-19.280000000, 192.630208333
-25.150000000, 14.000000000
-24.050000000, 22.494791667
-15.670000000, 632.276041667
-22.390000000, 50.239583333
-21.480000000, 70.640625000
-23.830000000, 26.510416667
-23.440000000, 31.395833333
-17.080000000, 677.421875000
-12.780000000, 3947.156250000
-21.800000000, 86.781250000
-22.620000000, 65.088541667
-18.810000000, 274.973958333
-16.850000000, 1047.901041667
-19.950000000, 229.187500000
-17.110000000, 455.734375000
-19.600000000, 130.447916667
-18.930000000, 360.562500000
-22.920000000, 45.734375000
-19.320000000, 306.359375000
-19.820000000, 288.776041667
-19.220000000, 428.703125000
-17.950000000, 366.375000000
-18.830000000, 190.161458333
-17.440000000, 319.375000000
-21.140000000, 101.276041667
-18.560000000, 254.244791667
-20.400000000, 132.406250000
-19.710000000, 229.708333333
-20.720000000, 137.765625000
-18.410000000, 222.046875000
-15.700000000, 813.182291667
-18.770000000, 215.406250000
-21.430000000, 85.572916667
-19.230000000, 172.885416667
-20.490000000, 82.692708333
-17.410000000, 431.062500000
-16.400000000, 978.937500000
-17.960000000, 248.848958333
-22.660000000, 78.958333333
-20.560000000, 170.317708333
-20.920000000, 118.682291667
-18.370000000, 338.973958333
-18.160000000, 430.588541667
-20.100000000, 166.312500000
-23.580000000, 86.296875000
-15.530000000, 957.005208333
-19.210000000, 160.723958333
-19.610000000, 177.937500000
-22.270000000, 54.406250000
-25.380000000, 13.010416667
-22.550000000, 45.302083333
-23.900000000, 43.921875000
-18.320000000, 314.843750000
-17.980000000, 442.041666667
-19.810000000, 215.500000000
-18.910000000, 400.057291667
-17.290000000, 657.296875000
-22.280000000, 93.098958333
-18.330000000, 674.000000000
-20.210000000, 134.916666667
-17.040000000, 739.411458333
-19.680000000, 196.682291667
-22.840000000, 58.197916667
-19.950000000, 220.104166667
-19.650000000, 230.234375000
-25.660000000, 19.041666667
-18.800000000, 349.651041667
-18.900000000, 432.984375000
-22.930000000, 40.781250000
-20.750000000, 163.244791667
-15.650000000, 635.552083333
-22.050000000, 52.968750000
-24.220000000, 31.994791667
-16.060000000, 951.598958333
-22.550000000, 63.744791667
-20.480000000, 98.125000000
-17.270000000, 539.536458333
-13.840000000, 1338.781250000
-21.200000000, 117.807291667
-19.360000000, 264.156250000
-17.730000000, 355.541666667
-19.350000000, 276.364583333
-17.030000000, 586.171875000
-20.100000000, 274.958333333
-15.720000000, 740.770833333
-20.150000000, 153.057291667
-13.500000000, 2677.489583333
-19.660000000, 283.755208333
-19.040000000, 267.213541667
-15.340000000, 1428.890625000
-19.370000000, 245.031250000
-18.020000000, 585.500000000
-19.950000000, 159.286458333
-18.390000000, 333.760416667
-24.940000000, 21.260416667
-23.350000000, 46.317708333
-18.620000000, 212.557291667
-18.310000000, 386.260416667
-15.730000000, 722.213541667
-22.120000000, 54.786458333
-14.690000000, 1502.723958333
-21.730000000, 91.843750000
-20.680000000, 117.937500000
-21.860000000, 54.739583333
-19.570000000, 126.062500000
-22.290000000, 59.088541667
-18.300000000, 330.328125000
-18.880000000, 247.739583333
-19.750000000, 122.276041667
-21.970000000, 86.197916667
-18.320000000, 363.703125000
-18.560000000, 322.031250000
-21.050000000, 163.343750000
-19.070000000, 470.307291667
-16.170000000, 1007.786458333
-15.520000000, 748.062500000
-19.110000000, 219.781250000
-18.950000000, 229.322916667
-21.200000000, 86.677083333
-14.930000000, 1130.223958333
-18.900000000, 319.791666667
-20.230000000, 120.817708333
-16.260000000, 589.718750000
-20.060000000, 126.677083333
-13.400000000, 1893.338541667
-20.940000000, 145.473958333
-25.720000000, 27.848958333
-19.180000000, 178.223958333
-18.230000000, 535.447916667
-19.560000000, 224.776041667
-18.800000000, 174.828125000
-18.260000000, 273.312500000
-19.460000000, 135.822916667
-17.590000000, 475.588541667
-21.470000000, 96.161458333
-18.570000000, 382.104166667
-22.970000000, 64.078125000
-18.550000000, 244.786458333
-20.540000000, 184.244791667
-19.090000000, 240.218750000
