@RELATION PBDNN

@ATTRIBUTE NN1	numeric
@ATTRIBUTE class	numeric

@DATA
-7.370000000, 54.203125000
-6.410000000, 185.713541667
-4.630000000, 365.203125000
-6.260000000, 30.619791667
-6.570000000, 24.005208333
-5.170000000, 455.578125000
-4.780000000, 277.505208333
-6.120000000, 113.276041667
-3.900000000, 662.552083333
-6.900000000, 56.062500000
-8.820000000, 24.203125000
-4.440000000, 200.442708333
-5.860000000, 51.447916667
-5.800000000, 135.973958333
-6.750000000, 71.666666667
-5.750000000, 156.880208333
-8.820000000, 16.312500000
-6.990000000, 42.942708333
-4.630000000, 428.088541667
-3.860000000, 787.921875000
-4.280000000, 487.557291667
-5.190000000, 168.010416667
-5.540000000, 107.536458333
-3.760000000, 365.348958333
-5.870000000, 197.010416667
-6.660000000, 56.984375000
-5.470000000, 112.177083333
-7.300000000, 54.812500000
-6.010000000, 120.442708333
-7.290000000, 34.989583333
-4.020000000, 545.333333333
-5.970000000, 113.890625000
-6.990000000, 37.479166667
-5.940000000, 80.015625000
-5.100000000, 208.098958333
-7.690000000, 65.322916667
-6.410000000, 175.270833333
-6.960000000, 63.197916667
-6.590000000, 30.401041667
-6.410000000, 37.255208333
-3.040000000, 367.062500000
-6.190000000, 91.302083333
-4.740000000, 232.375000000
-6.590000000, 34.151041667
-5.520000000, 188.062500000
-4.510000000, 236.890625000
-5.540000000, 90.609375000
-6.030000000, 172.682291667
-4.700000000, 229.989583333
-6.660000000, 48.932291667
-6.810000000, 27.536458333
-4.440000000, 399.526041667
-4.180000000, 210.901041667
-5.470000000, 113.406250000
-8.090000000, 20.130208333
-3.580000000, 434.796875000
-4.300000000, 519.671875000
-6.210000000, 48.864583333
-6.270000000, 58.411458333
-5.020000000, 201.776041667
-6.810000000, 37.041666667
-5.470000000, 241.421875000
-4.880000000, 209.822916667
-5.940000000, 141.833333333
-5.620000000, 135.536458333
-4.460000000, 313.171875000
-6.990000000, 40.260416667
-5.960000000, 267.187500000
-6.810000000, 41.031250000
-3.900000000, 261.723958333
-6.410000000, 67.036458333
-6.210000000, 193.770833333
-3.580000000, 590.484375000
-4.300000000, 996.604166667
-6.810000000, 52.187500000
-7.150000000, 56.614583333
-6.120000000, 50.411458333
-6.010000000, 130.932291667
-4.580000000, 244.151041667
-5.860000000, 91.500000000
-6.120000000, 172.572916667
-5.820000000, 61.291666667
-3.340000000, 535.630208333
-6.810000000, 26.500000000
-6.990000000, 51.729166667
