@RELATION PBDNN

@ATTRIBUTE NN1	numeric
@ATTRIBUTE class	numeric

@DATA
-10.180000000, 130.864583333
-14.890000000, 2.807291667
-8.340000000, 644.557291667
-9.500000000, 185.333333333
-10.960000000, 93.312500000
-11.730000000, 29.567708333
-11.520000000, 27.619791667
-10.160000000, 50.958333333
-12.270000000, 47.656250000
-13.030000000, 12.833333333
-9.180000000, 274.848958333
-15.240000000, 7.166666667
-15.890000000, 3.531250000
-13.280000000, 16.640625000
-14.680000000, 5.635416667
-12.460000000, 13.890625000
-13.290000000, 13.500000000
-13.830000000, 22.520833333
-14.560000000, 5.114583333
-15.270000000, 5.947916667
-12.950000000, 14.937500000
-15.410000000, 3.656250000
-8.670000000, 86.104166667
-16.240000000, 1.619791667
-16.100000000, 2.171875000
-13.920000000, 3.994791667
-12.690000000, 21.260416667
-11.160000000, 58.869791667
-10.910000000, 171.838541667
-15.780000000, 1.552083333
-12.320000000, 41.416666667
-13.620000000, 12.036458333
-12.970000000, 14.796875000
-13.730000000, 14.875000000
-11.940000000, 17.364583333
-12.700000000, 16.791666667
-11.220000000, 31.359375000
-14.460000000, 4.937500000
-11.360000000, 25.526041667
-11.410000000, 43.135416667
-13.390000000, 7.697916667
-15.950000000, 5.708333333
-8.080000000, 304.692708333
-16.040000000, 2.453125000
-10.770000000, 65.572916667
-10.260000000, 105.437500000
-13.380000000, 20.890625000
-11.320000000, 22.598958333
-15.460000000, 1.567708333
-13.240000000, 6.697916667
-15.570000000, 6.302083333
-10.460000000, 123.250000000
-11.900000000, 47.156250000
-11.900000000, 22.468750000
-13.520000000, 18.010416667
-9.900000000, 59.098958333
-13.820000000, 8.182291667
-13.130000000, 9.380208333
-12.820000000, 24.864583333
-10.650000000, 49.125000000
-11.270000000, 39.734375000
-16.200000000, 0.979166667
-16.120000000, 0.625000000
-11.220000000, 80.739583333
-15.090000000, 2.562500000
-17.860000000, 1.718750000
-11.080000000, 52.265625000
-12.960000000, 10.244791667
-12.150000000, 49.671875000
-11.170000000, 46.697916667
-11.210000000, 22.588541667
-8.480000000, 417.796875000
-14.960000000, 6.885416667
-11.450000000, 15.135416667
-9.930000000, 149.171875000
-14.010000000, 25.500000000
-7.780000000, 374.864583333
-16.920000000, 0.255208333
-11.660000000, 36.989583333
-14.520000000, 5.177083333
-14.160000000, 2.130208333
-17.130000000, 0.098958333
-13.810000000, 12.609375000
-15.390000000, 2.119791667
-11.770000000, 12.781250000
-12.460000000, 10.177083333
-10.730000000, 41.005208333
-11.710000000, 37.427083333
-15.060000000, 3.859375000
-12.840000000, 20.906250000
-13.260000000, 35.531250000
-12.180000000, 36.192708333
-11.710000000, 23.541666667
-11.410000000, 39.697916667
-11.720000000, 19.776041667
-10.700000000, 73.104166667
-14.800000000, 5.302083333
-11.630000000, 26.916666667
-14.450000000, 5.270833333
-14.480000000, 7.625000000
-12.550000000, 17.854166667
-11.550000000, 77.041666667
-15.650000000, 1.953125000
-12.500000000, 14.302083333
-15.020000000, 2.812500000
-10.370000000, 56.072916667
-15.900000000, 3.854166667
-16.110000000, 2.192708333
-11.570000000, 69.807291667
-14.550000000, 6.484375000
-10.460000000, 70.546875000
-9.650000000, 186.770833333
-14.240000000, 3.828125000
-11.800000000, 31.291666667
-15.180000000, 0.843750000
-11.380000000, 43.473958333
-11.680000000, 65.640625000
-13.580000000, 10.270833333
-11.480000000, 30.265625000
-12.030000000, 30.125000000
-13.540000000, 11.291666667
-12.950000000, 4.869791667
-15.460000000, 4.588541667
-9.210000000, 140.645833333
-14.190000000, 3.901041667
-13.630000000, 16.359375000
-12.530000000, 37.333333333
-15.380000000, 3.520833333
-15.490000000, 3.192708333
-11.240000000, 69.619791667
-13.720000000, 9.770833333
-13.230000000, 19.343750000
-11.720000000, 18.531250000
-15.890000000, 2.463541667
-10.970000000, 60.333333333
-14.160000000, 23.140625000
-13.390000000, 24.109375000
-11.400000000, 19.270833333
-14.020000000, 6.244791667
-15.830000000, 2.875000000
-15.560000000, 2.505208333
-11.350000000, 28.937500000
-15.020000000, 13.104166667
-14.720000000, 13.984375000
-14.160000000, 5.880208333
-16.100000000, 2.161458333
-11.710000000, 41.421875000
-14.760000000, 1.859375000
-12.360000000, 34.291666667
-12.780000000, 19.354166667
-11.730000000, 39.411458333
-12.060000000, 34.328125000
-11.870000000, 55.140625000
-13.360000000, 12.776041667
-11.810000000, 31.390625000
-12.500000000, 14.421875000
-15.790000000, 4.369791667
-12.020000000, 45.125000000
-11.420000000, 33.536458333
-14.450000000, 3.750000000
-13.440000000, 12.411458333
-15.060000000, 3.385416667
-8.460000000, 645.718750000
-15.730000000, 6.307291667
-15.100000000, 2.973958333
-12.790000000, 18.786458333
-14.960000000, 5.109375000
-16.920000000, 1.687500000
-10.330000000, 78.223958333
-10.190000000, 93.911458333
-11.150000000, 65.744791667
-13.670000000, 6.911458333
-14.840000000, 3.281250000
-10.100000000, 101.802083333
-10.660000000, 36.645833333
-12.700000000, 28.640625000
-12.080000000, 61.187500000
-11.400000000, 16.208333333
-17.070000000, 3.984375000
-12.290000000, 31.026041667
-10.460000000, 93.864583333
