@RELATION PBDNN

@ATTRIBUTE NN1	numeric
@ATTRIBUTE class	numeric

@DATA
-8.420000000, 1.427083333
-4.600000000, 32.979166667
-5.190000000, 22.843750000
-3.460000000, 60.958333333
-6.140000000, 7.880208333
-7.700000000, 2.541666667
-4.480000000, 20.911458333
-5.220000000, 35.302083333
-6.030000000, 8.385416667
-6.410000000, 1.885416667
-7.690000000, 2.604166667
-3.900000000, 17.468750000
-5.470000000, 6.145833333
-7.690000000, 2.723958333
-5.560000000, 42.916666667
-3.460000000, 53.354166667
-6.400000000, 14.208333333
-4.770000000, 51.453125000
-5.870000000, 8.223958333
-7.530000000, 6.598958333
-7.530000000, 2.869791667
-3.340000000, 211.541666667
-5.470000000, 15.687500000
-5.420000000, 25.546875000
-4.600000000, 16.890625000
-6.410000000, 9.265625000
-4.440000000, 52.395833333
-4.930000000, 27.718750000
-6.850000000, 4.098958333
-5.470000000, 43.656250000
-5.470000000, 18.598958333
-4.740000000, 16.385416667
-8.420000000, 1.197916667
-5.070000000, 16.489583333
-4.000000000, 42.994791667
-5.330000000, 32.130208333
-6.590000000, 18.718750000
-3.760000000, 55.885416667
-6.420000000, 8.786458333
-3.320000000, 70.953125000
-5.300000000, 24.802083333
-3.910000000, 52.369791667
-3.910000000, 63.708333333
-6.410000000, 12.906250000
-4.440000000, 87.958333333
-4.440000000, 15.588541667
-4.180000000, 93.333333333
-6.030000000, 6.453125000
-3.910000000, 33.526041667
-5.520000000, 30.130208333
-6.360000000, 47.713541667
-5.140000000, 23.479166667
-4.580000000, 24.026041667
-3.760000000, 31.208333333
-4.440000000, 24.557291667
-3.900000000, 51.968750000
-3.740000000, 40.843750000
-4.210000000, 85.593750000
-4.740000000, 26.708333333
-6.710000000, 25.505208333
-6.190000000, 14.510416667
-5.520000000, 16.755208333
-6.750000000, 4.588541667
-5.030000000, 47.286458333
-5.720000000, 4.135416667
-6.170000000, 9.536458333
-6.750000000, 3.265625000
-6.810000000, 7.218750000
-7.530000000, 4.432291667
-6.800000000, 7.229166667
-5.020000000, 12.276041667
-4.890000000, 57.177083333
-6.750000000, 10.661458333
-4.000000000, 89.958333333
-4.880000000, 44.380208333
-6.960000000, 2.578125000
-4.730000000, 39.109375000
-5.970000000, 5.244791667
-5.470000000, 7.770833333
-4.440000000, 32.432291667
-3.760000000, 23.557291667
-3.860000000, 109.151041667
-6.690000000, 14.385416667
-5.170000000, 9.802083333
-6.450000000, 7.583333333
-8.420000000, 1.614583333
-4.860000000, 9.645833333
-5.640000000, 22.510416667
-4.180000000, 59.760416667
-5.150000000, 11.177083333
-2.920000000, 89.958333333
-6.400000000, 2.906250000
-7.300000000, 1.229166667
-6.660000000, 9.416666667
-3.340000000, 109.093750000
-6.420000000, 10.947916667
-4.630000000, 37.182291667
-4.750000000, 71.317708333
-6.260000000, 3.927083333
-6.900000000, 10.390625000
-4.750000000, 13.375000000
-6.260000000, 4.192708333
-3.910000000, 43.953125000
-5.020000000, 15.192708333
-5.720000000, 4.531250000
-5.610000000, 11.619791667
-7.130000000, 7.182291667
-4.160000000, 62.744791667
-7.140000000, 2.437500000
-5.170000000, 20.958333333
-6.270000000, 10.000000000
-6.530000000, 2.750000000
-6.990000000, 3.484375000
-7.700000000, 0.708333333
-4.300000000, 45.182291667
-4.630000000, 39.416666667
-4.750000000, 16.760416667
-4.300000000, 18.062500000
-5.100000000, 20.963541667
-5.470000000, 13.380208333
-4.720000000, 130.046875000
-6.450000000, 11.437500000
-5.630000000, 11.197916667
-6.360000000, 12.536458333
-5.940000000, 37.291666667
-5.470000000, 14.140625000
-4.160000000, 47.927083333
-5.610000000, 43.927083333
-8.090000000, 1.500000000
-5.080000000, 13.036458333
-8.090000000, 3.682291667
-5.470000000, 14.015625000
-5.640000000, 12.187500000
-6.020000000, 16.526041667
-6.360000000, 8.531250000
-3.040000000, 199.036458333
-3.740000000, 45.604166667
-6.030000000, 10.041666667
-5.470000000, 27.536458333
-4.780000000, 40.572916667
-6.530000000, 3.885416667
-4.000000000, 50.041666667
-4.910000000, 16.109375000
-8.020000000, 6.114583333
-3.460000000, 110.906250000
-5.120000000, 7.781250000
-6.820000000, 2.411458333
-7.690000000, 3.072916667
-4.040000000, 34.364583333
-5.860000000, 5.078125000
-5.350000000, 12.765625000
-5.770000000, 34.567708333
-4.740000000, 11.911458333
-5.970000000, 43.604166667
-6.140000000, 7.421875000
-6.100000000, 20.937500000
-6.990000000, 0.713541667
-5.100000000, 23.052083333
-6.900000000, 8.937500000
-3.880000000, 123.885416667
-4.280000000, 29.687500000
-6.060000000, 19.713541667
-6.750000000, 5.291666667
-3.740000000, 53.546875000
-6.010000000, 9.270833333
-5.170000000, 14.557291667
-7.360000000, 1.901041667
-7.080000000, 8.921875000
-4.300000000, 57.166666667
-6.100000000, 6.312500000
-6.140000000, 6.442708333
-6.270000000, 6.161458333
-7.700000000, 1.229166667
-6.410000000, 7.463541667
-5.190000000, 21.145833333
-3.460000000, 212.145833333
-4.720000000, 18.348958333
-3.860000000, 50.369791667
-4.580000000, 54.276041667
-5.540000000, 6.973958333
-5.330000000, 28.151041667
-5.730000000, 15.755208333
-6.640000000, 9.187500000
-5.160000000, 39.552083333
-4.140000000, 54.005208333
-5.780000000, 11.927083333
-5.640000000, 28.234375000
-6.140000000, 13.291666667
-3.910000000, 112.114583333
-4.860000000, 37.343750000
-5.620000000, 17.552083333
-8.490000000, 3.958333333
-4.190000000, 43.364583333
-6.270000000, 18.229166667
-8.090000000, 5.625000000
-5.940000000, 6.473958333
-8.820000000, 1.197916667
-6.990000000, 2.963541667
-7.530000000, 4.854166667
-6.260000000, 11.567708333
-7.690000000, 3.052083333
-4.280000000, 73.515625000
-7.290000000, 3.229166667
-4.440000000, 74.244791667
-4.300000000, 35.078125000
-4.330000000, 36.239583333
-4.700000000, 20.880208333
-4.780000000, 55.390625000
-4.750000000, 40.380208333
-6.400000000, 7.755208333
-5.820000000, 11.411458333
-4.740000000, 25.630208333
-4.720000000, 87.833333333
-8.090000000, 2.364583333
-5.970000000, 10.171875000
-4.280000000, 116.619791667
-7.530000000, 2.593750000
-3.860000000, 43.348958333
-7.550000000, 5.817708333
-6.750000000, 2.953125000
-5.630000000, 11.578125000
-5.860000000, 5.880208333
-3.860000000, 101.328125000
-3.460000000, 176.828125000
-5.570000000, 7.447916667
-5.470000000, 9.718750000
-5.520000000, 21.328125000
-6.960000000, 4.671875000
-5.750000000, 4.447916667
-6.810000000, 4.260416667
-3.460000000, 164.057291667
-4.910000000, 41.645833333
-4.580000000, 29.541666667
-7.690000000, 3.234375000
-5.570000000, 40.197916667
-5.470000000, 16.223958333
-6.450000000, 9.697916667
-7.200000000, 5.281250000
-8.090000000, 1.052083333
-6.710000000, 6.109375000
-5.330000000, 18.786458333
-4.300000000, 98.229166667
-5.190000000, 20.567708333
-4.750000000, 12.234375000
-6.180000000, 6.427083333
-6.970000000, 4.171875000
-7.360000000, 0.135416667
-5.020000000, 11.859375000
-5.790000000, 16.708333333
-5.470000000, 48.093750000
-6.750000000, 6.468750000
-6.270000000, 16.276041667
-5.520000000, 17.614583333
-5.030000000, 19.244791667
-7.200000000, 6.348958333
-7.760000000, 1.291666667
-5.630000000, 13.244791667
-6.590000000, 2.432291667
-6.990000000, 4.916666667
-5.470000000, 6.171875000
-4.000000000, 66.625000000
-3.910000000, 56.307291667
-4.980000000, 34.041666667
-6.410000000, 1.552083333
-6.610000000, 1.187500000
-5.610000000, 25.151041667
-6.310000000, 11.838541667
-3.460000000, 158.427083333
-5.630000000, 4.947916667
-4.910000000, 25.619791667
-5.190000000, 8.437500000
-5.750000000, 5.031250000
-6.030000000, 7.468750000
-4.450000000, 32.755208333
-8.490000000, 2.114583333
-5.620000000, 6.005208333
-6.430000000, 7.296875000
-4.180000000, 62.833333333
-6.250000000, 25.109375000
-7.370000000, 12.645833333
-8.820000000, 1.828125000
-6.570000000, 4.848958333
-5.470000000, 19.104166667
-4.450000000, 27.088541667
-8.490000000, 1.406250000
-8.420000000, 2.828125000
-6.270000000, 8.281250000
-5.570000000, 15.776041667
-4.580000000, 17.072916667
-3.760000000, 21.244791667
-6.030000000, 5.692708333
-4.890000000, 115.463541667
-6.410000000, 6.692708333
-5.970000000, 36.281250000
-3.480000000, 49.458333333
-5.170000000, 21.526041667
-6.030000000, 6.171875000
-6.010000000, 20.437500000
-6.810000000, 7.911458333
-7.760000000, 0.796875000
-3.580000000, 119.036458333
-5.080000000, 20.166666667
-4.980000000, 22.984375000
-4.600000000, 28.588541667
-5.100000000, 28.718750000
-5.350000000, 16.343750000
-4.440000000, 54.505208333
-5.610000000, 6.984375000
-5.470000000, 12.072916667
-7.370000000, 0.526041667
-3.580000000, 62.822916667
-5.190000000, 38.895833333
-7.200000000, 5.604166667
-4.910000000, 32.984375000
-5.020000000, 12.187500000
-4.780000000, 15.661458333
-4.440000000, 45.281250000
-5.290000000, 27.369791667
-4.720000000, 30.031250000
-6.970000000, 4.635416667
-5.330000000, 11.609375000
-5.020000000, 20.781250000
-4.300000000, 10.984375000
-6.810000000, 0.921875000
-5.730000000, 6.833333333
-6.970000000, 5.541666667
-4.890000000, 24.505208333
-6.750000000, 1.796875000
-6.360000000, 10.692708333
-6.960000000, 4.307291667
-3.460000000, 72.619791667
-4.600000000, 21.104166667
-6.010000000, 3.890625000
-5.860000000, 4.848958333
-2.920000000, 111.328125000
-6.810000000, 5.468750000
-4.000000000, 78.000000000
-3.910000000, 50.104166667
-5.630000000, 11.572916667
-4.300000000, 54.890625000
-6.410000000, 2.531250000
-6.190000000, 10.078125000
-8.820000000, 2.239583333
-7.550000000, 1.109375000
-5.470000000, 11.197916667
-5.190000000, 17.604166667
-6.130000000, 25.364583333
-5.470000000, 39.234375000
-6.050000000, 7.072916667
-4.040000000, 42.947916667
-6.030000000, 25.973958333
-5.020000000, 29.875000000
-4.000000000, 195.890625000
-6.210000000, 17.541666667
-4.580000000, 59.984375000
-4.910000000, 8.250000000
-5.470000000, 9.328125000
-3.760000000, 25.552083333
-4.880000000, 13.989583333
-5.630000000, 7.270833333
-4.450000000, 55.442708333
-3.580000000, 111.812500000
-4.630000000, 27.927083333
-4.040000000, 102.609375000
-4.760000000, 42.208333333
-4.300000000, 80.333333333
-5.780000000, 24.317708333
-5.120000000, 33.427083333
-5.580000000, 10.614583333
-3.910000000, 16.640625000
-6.450000000, 10.744791667
-7.140000000, 1.427083333
-4.880000000, 24.916666667
-5.580000000, 14.317708333
-8.490000000, 3.781250000
-5.870000000, 29.255208333
-4.890000000, 21.739583333
-4.580000000, 85.385416667
-4.580000000, 37.796875000
-4.630000000, 34.458333333
-6.580000000, 9.567708333
-6.360000000, 15.734375000
-5.470000000, 20.817708333
-6.660000000, 1.322916667
-4.160000000, 54.848958333
-6.900000000, 1.666666667
-6.120000000, 4.270833333
-3.040000000, 28.869791667
-7.130000000, 4.463541667
-3.040000000, 208.979166667
-5.470000000, 31.640625000
-3.040000000, 120.359375000
-6.310000000, 7.000000000
-3.340000000, 105.630208333
-6.570000000, 2.036458333
-7.300000000, 4.187500000
-5.190000000, 24.739583333
-8.090000000, 0.640625000
-6.260000000, 8.046875000
-5.280000000, 8.234375000
-5.170000000, 22.890625000
-6.400000000, 12.020833333
-6.900000000, 7.567708333
-5.560000000, 14.166666667
-6.740000000, 8.677083333
-5.420000000, 31.697916667
-6.410000000, 5.208333333
-3.460000000, 62.770833333
-5.910000000, 58.807291667
-7.530000000, 2.843750000
-6.260000000, 9.989583333
-5.800000000, 19.432291667
-3.460000000, 40.114583333
-6.590000000, 3.296875000
-4.160000000, 81.255208333
-5.190000000, 18.572916667
-5.870000000, 14.385416667
-6.410000000, 25.234375000
-3.760000000, 15.901041667
-6.410000000, 11.640625000
-3.460000000, 30.171875000
-4.190000000, 12.234375000
-5.540000000, 13.609375000
-5.910000000, 10.677083333
-4.630000000, 32.203125000
-5.030000000, 14.755208333
-8.100000000, 10.484375000
-3.340000000, 57.963541667
-4.040000000, 75.526041667
-6.660000000, 2.651041667
-4.440000000, 20.911458333
-8.090000000, 3.364583333
-4.280000000, 46.911458333
-6.180000000, 2.286458333
-5.470000000, 9.484375000
-4.600000000, 21.958333333
-7.550000000, 2.572916667
-5.560000000, 16.541666667
-5.300000000, 23.734375000
-6.270000000, 3.416666667
-6.660000000, 2.255208333
-6.970000000, 2.302083333
-7.160000000, 4.588541667
-6.310000000, 2.098958333
-4.300000000, 19.088541667
-6.740000000, 17.380208333
-5.970000000, 17.260416667
-6.750000000, 11.125000000
-6.810000000, 3.109375000
-6.810000000, 7.812500000
-4.180000000, 24.244791667
-6.970000000, 5.645833333
-4.630000000, 12.536458333
-6.270000000, 7.937500000
-6.500000000, 14.833333333
-6.420000000, 6.723958333
-6.800000000, 6.885416667
-6.360000000, 4.458333333
-2.920000000, 100.729166667
-6.750000000, 12.786458333
