@RELATION PBDNN

@ATTRIBUTE NN1	numeric
@ATTRIBUTE class	numeric

@DATA
-9.890000000, 7329.359375000
-10.760000000, 5942.880208333
-10.970000000, 4140.921875000
-13.760000000, 1871.161458333
-10.960000000, 4089.661458333
-15.160000000, 485.119791667
-11.890000000, 2633.828125000
-13.100000000, 2166.598958333
-14.780000000, 685.932291667
-11.230000000, 3789.963541667
-13.230000000, 1794.625000000
-16.020000000, 509.927083333
-13.620000000, 1732.807291667
-11.770000000, 1830.145833333
-16.620000000, 603.661458333
-8.620000000, 9818.802083333
-14.590000000, 1016.848958333
-11.980000000, 3697.734375000
-12.740000000, 1805.088541667
-8.760000000, 13667.015625000
-12.780000000, 1678.364583333
-12.340000000, 2561.979166667
-12.890000000, 1482.942708333
-14.560000000, 867.588541667
-11.500000000, 2011.036458333
-15.110000000, 1216.723958333
-10.970000000, 5220.833333333
-15.790000000, 469.713541667
-10.450000000, 5690.447916667
-11.810000000, 2803.510416667
-11.300000000, 2681.203125000
-11.970000000, 2186.052083333
-14.850000000, 618.973958333
-11.660000000, 2152.822916667
-11.160000000, 3905.557291667
-10.680000000, 3538.541666667
-15.940000000, 641.703125000
-16.100000000, 495.140625000
-8.800000000, 7191.302083333
-16.480000000, 557.750000000
-13.620000000, 1349.947916667
-14.560000000, 830.390625000
-12.890000000, 1479.432291667
-12.290000000, 2347.421875000
-11.450000000, 3004.958333333
-13.720000000, 1500.619791667
-8.040000000, 17279.906250000
-10.010000000, 7385.895833333
-12.270000000, 2749.140625000
-12.010000000, 3288.395833333
-14.660000000, 813.911458333
-10.720000000, 4505.197916667
-14.310000000, 986.822916667
-16.200000000, 467.583333333
-12.770000000, 1620.442708333
-10.540000000, 4688.463541667
-9.650000000, 7234.666666667
-11.010000000, 4835.557291667
-12.740000000, 2510.098958333
-12.920000000, 1784.546875000
-11.220000000, 6459.973958333
-9.830000000, 4422.776041667
-13.280000000, 1468.677083333
-17.800000000, 325.734375000
-13.900000000, 1571.088541667
-13.760000000, 1252.343750000
-12.380000000, 1793.354166667
-12.490000000, 4004.973958333
-11.920000000, 2316.229166667
-11.630000000, 2221.135416667
-9.880000000, 4662.255208333
-9.900000000, 4694.328125000
-7.920000000, 15178.369791667
-12.750000000, 2155.312500000
-13.100000000, 2191.291666667
-10.790000000, 2613.052083333
-16.350000000, 446.979166667
-11.170000000, 3458.515625000
-15.590000000, 612.000000000
-13.280000000, 1263.651041667
-14.630000000, 1565.953125000
-10.510000000, 7406.656250000
-10.370000000, 6005.609375000
-9.320000000, 5307.276041667
-13.770000000, 2546.463541667
-13.660000000, 1047.604166667
-14.010000000, 2365.817708333
-13.280000000, 1611.093750000
-14.530000000, 803.630208333
-12.600000000, 1848.739583333
-12.880000000, 2096.932291667
-11.680000000, 3988.453125000
-10.520000000, 4128.401041667
-12.220000000, 1563.510416667
-15.800000000, 511.953125000
-12.180000000, 2264.494791667
-10.900000000, 2815.911458333
-14.210000000, 1646.828125000
-10.100000000, 6408.979166667
-11.930000000, 2832.375000000
-11.600000000, 4475.223958333
-14.960000000, 703.494791667
-12.890000000, 1240.005208333
-12.910000000, 1571.781250000
-13.300000000, 1991.307291667
-13.440000000, 1203.906250000
-12.850000000, 1533.401041667
-13.500000000, 1386.536458333
-14.050000000, 1397.786458333
-14.240000000, 783.302083333
-13.340000000, 1326.468750000
-12.420000000, 2648.067708333
-14.400000000, 825.843750000
-12.680000000, 2221.848958333
-10.770000000, 4584.208333333
-14.000000000, 1336.291666667
-13.780000000, 1404.338541667
-13.910000000, 782.625000000
-13.380000000, 1882.447916667
-12.440000000, 2383.343750000
-14.230000000, 1017.296875000
-14.290000000, 833.796875000
-16.200000000, 505.098958333
-12.550000000, 1721.854166667
-12.780000000, 2174.062500000
-10.810000000, 3200.802083333
-14.740000000, 962.479166667
-11.310000000, 3026.791666667
-15.950000000, 575.223958333
-13.810000000, 1395.442708333
-14.610000000, 847.984375000
-10.040000000, 6608.057291667
-15.270000000, 878.729166667
-12.820000000, 2210.776041667
-15.400000000, 480.593750000
-11.600000000, 5160.260416667
-11.700000000, 2082.578125000
-17.470000000, 330.046875000
-12.650000000, 1757.427083333
-13.440000000, 1150.208333333
-13.740000000, 1033.276041667
-8.830000000, 8140.781250000
-10.770000000, 4144.911458333
-12.500000000, 1949.817708333
-13.230000000, 1470.015625000
-14.960000000, 664.796875000
-12.940000000, 2496.072916667
-13.900000000, 734.432291667
-8.670000000, 11824.395833333
-13.330000000, 1947.723958333
-11.940000000, 2230.848958333
-14.650000000, 1039.005208333
-16.600000000, 438.458333333
-13.390000000, 1180.395833333
-14.800000000, 930.541666667
-12.600000000, 2252.500000000
-16.830000000, 345.510416667
-16.130000000, 555.390625000
-12.780000000, 2125.317708333
-15.500000000, 767.505208333
-15.830000000, 848.453125000
-10.100000000, 5893.510416667
-12.270000000, 2122.348958333
-12.610000000, 1578.291666667
-13.230000000, 1396.760416667
-10.650000000, 5392.187500000
-14.120000000, 1334.651041667
-10.260000000, 6495.750000000
-11.720000000, 2222.755208333
-14.880000000, 708.750000000
-13.200000000, 1749.552083333
-14.000000000, 1066.973958333
-10.510000000, 5215.270833333
-10.350000000, 5850.119791667
-11.980000000, 3394.067708333
-12.460000000, 2264.723958333
-12.400000000, 1761.895833333
-14.440000000, 1117.343750000
-18.030000000, 302.510416667
-12.140000000, 1506.651041667
-11.940000000, 2134.458333333
-13.580000000, 1541.270833333
-12.900000000, 1769.291666667
-13.830000000, 940.401041667
-8.360000000, 8700.296875000
-12.950000000, 2424.718750000
-13.880000000, 1355.968750000
-13.160000000, 1260.229166667
-15.000000000, 827.213541667
-11.960000000, 2181.109375000
-10.790000000, 4611.572916667
-12.280000000, 2050.854166667
-12.390000000, 2483.838541667
-13.280000000, 1249.916666667
-11.540000000, 3564.755208333
-15.400000000, 686.645833333
-9.180000000, 11600.177083333
-13.440000000, 2196.807291667
-13.350000000, 2674.187500000
-11.430000000, 3191.677083333
-15.490000000, 572.531250000
-12.390000000, 3294.885416667
-11.690000000, 3440.098958333
-14.570000000, 1118.234375000
-12.340000000, 2954.130208333
-11.500000000, 1730.958333333
-11.890000000, 3100.927083333
-9.200000000, 7693.776041667
-9.040000000, 9512.088541667
-13.860000000, 1534.979166667
-12.950000000, 1250.192708333
-12.390000000, 3208.098958333
-14.730000000, 1054.463541667
-9.950000000, 3547.880208333
-14.510000000, 760.401041667
-14.230000000, 885.473958333
-13.610000000, 1397.125000000
-12.340000000, 2850.041666667
-18.350000000, 367.234375000
-15.830000000, 634.937500000
-14.620000000, 943.927083333
-12.320000000, 2332.182291667
-9.110000000, 6156.359375000
-13.340000000, 1422.635416667
-13.820000000, 1002.994791667
-9.530000000, 5796.786458333
-11.960000000, 1992.291666667
-7.500000000, 16115.802083333
-10.710000000, 4912.067708333
-10.490000000, 3374.588541667
-14.290000000, 1321.005208333
-17.410000000, 354.838541667
-13.600000000, 1091.130208333
-11.800000000, 2649.895833333
-13.160000000, 1598.078125000
-11.010000000, 5456.989583333
-7.920000000, 15005.286458333
-9.350000000, 13873.869791667
-17.630000000, 323.906250000
-17.470000000, 473.265625000
-12.290000000, 1773.447916667
-12.030000000, 2761.505208333
-13.230000000, 1305.979166667
-14.360000000, 1590.203125000
-14.760000000, 624.760416667
-10.260000000, 5574.067708333
-12.950000000, 1836.640625000
-10.280000000, 3701.984375000
-11.750000000, 3397.833333333
-8.040000000, 16718.312500000
-11.000000000, 3511.968750000
-8.370000000, 13190.338541667
-11.020000000, 3462.546875000
-11.220000000, 6793.255208333
-12.560000000, 1511.208333333
-14.550000000, 1304.312500000
-10.520000000, 6897.151041667
-13.280000000, 1205.088541667
-14.680000000, 702.947916667
-12.830000000, 2487.036458333
-16.180000000, 426.635416667
-12.230000000, 3222.677083333
-15.450000000, 872.562500000
-12.610000000, 2055.005208333
-13.440000000, 1068.536458333
-13.330000000, 2533.692708333
-14.070000000, 1643.291666667
-11.500000000, 2755.885416667
-13.960000000, 1041.979166667
-10.700000000, 5964.072916667
-11.260000000, 3374.244791667
-11.750000000, 3199.244791667
-13.670000000, 1139.244791667
-7.660000000, 9334.973958333
-13.680000000, 1603.015625000
-10.790000000, 2953.312500000
-11.610000000, 2269.817708333
-11.510000000, 1964.916666667
-10.940000000, 4940.828125000
-12.020000000, 3309.250000000
-12.450000000, 2208.515625000
-11.880000000, 2947.484375000
-9.180000000, 11033.015625000
-12.700000000, 2452.979166667
-12.460000000, 2579.630208333
-11.400000000, 3313.713541667
-12.920000000, 1631.307291667
-10.350000000, 4878.505208333
-14.850000000, 843.005208333
-14.300000000, 707.859375000
-11.270000000, 3769.770833333
-12.870000000, 1954.588541667
-12.700000000, 1235.390625000
-12.630000000, 2299.718750000
-10.610000000, 3905.161458333
-9.160000000, 10020.916666667
-17.230000000, 329.239583333
-13.370000000, 1554.250000000
-13.430000000, 1268.281250000
-11.990000000, 2636.578125000
-10.650000000, 5025.156250000
-9.770000000, 3440.583333333
-11.880000000, 3290.718750000
-11.940000000, 1899.192708333
-14.780000000, 650.937500000
-11.400000000, 2140.572916667
-11.520000000, 2265.364583333
-9.200000000, 7243.968750000
-11.350000000, 2562.640625000
-11.400000000, 2146.500000000
-9.670000000, 5781.958333333
-15.520000000, 686.229166667
-12.080000000, 3802.505208333
-9.950000000, 4850.250000000
-12.100000000, 2358.942708333
-10.800000000, 5059.656250000
-15.240000000, 619.260416667
-12.270000000, 1815.406250000
-13.540000000, 1585.963541667
-8.670000000, 9160.229166667
-15.690000000, 816.921875000
-11.970000000, 2888.375000000
-14.570000000, 812.593750000
-11.860000000, 3404.906250000
-15.890000000, 548.911458333
-14.130000000, 895.989583333
-17.230000000, 355.734375000
-15.460000000, 481.916666667
-9.440000000, 7765.567708333
-14.890000000, 1088.640625000
-11.510000000, 3084.468750000
-16.350000000, 550.276041667
-11.030000000, 4166.520833333
-12.620000000, 2755.020833333
-13.190000000, 1835.958333333
-13.960000000, 1696.036458333
-10.960000000, 5218.750000000
-12.150000000, 2707.354166667
-13.630000000, 1380.265625000
-14.160000000, 740.421875000
-10.820000000, 3997.119791667
